bidbids,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4,,,,,,,,
Arrow,1,Big_Coal,1,Four Corners,11,0,36.5,36.5,36.5,36.5,,,,,,,,
Arrow,1,Big_Coal,1,ALAMITOS_7,12,0,73.72,73.72,73.72,73.72,,,,,,,,
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,0,40.5,40.5,40.5,40.5,,,,,,,,
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,0,66.5,66.5,66.5,66.5,,,,,,,,
Arrow,1,Big_Coal,1,REDONDO_5-6,15,0,41.94,41.94,41.94,41.94,,,,,,,,
Arrow,1,Big_Coal,1,REDONDO_7-8,16,0,41.94,41.94,41.94,41.94,,,,,,,,
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,0,47.43,47.43,47.43,47.43,,,,,,,,
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,0,41.93,41.93,41.93,41.93,,,,,,,,
Becker,2,Big_Gas,2,LONG_BEACH,23,0,53.93,53.93,53.93,53.93,,,,,,,,
Becker,2,Big_Gas,2,NORTH_ISLAND,24,0,66.49,66.49,66.49,66.49,,,,,,,,
Becker,2,Big_Gas,2,ENCINA,25,0,41.93,41.93,41.93,41.93,,,,,,,,
Becker,2,Big_Gas,2,KEARNY,26,0,90.06,90.06,90.06,90.06,,,,,,,,
Becker,2,Big_Gas,2,SOUTH_BAY,27,0,47.43,47.43,47.43,47.43,,,,,,,,
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,0,39,39,40,39,,,,,,,,
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,0,37,37,40,37,,,,,,,,
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,0,35,35,40,35,,,,,,,,
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,0,35,35,40,35,,,,,,,,
Coase,3,Bay_Views,3,OAKLAND,35,0,61.17,61.17,61.17,61.17,,,,,,,,
Debreu,4,Beachfront,4,COOLWATER,41,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,ETIWANDA_5,43,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,ELLWOOD,44,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,MANDALAY_1-2,45,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,MANDALAY_3,46,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,0,10,15,20,25,,,,,,,,
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,0,10,15,20,25,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURGH_1-4,51,0,47.94,52.94,48.94,44.94,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURGH_5-6,52,0,43.61,48.61,44.61,40.61,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURG_7,53,0,62.72,65.72,63.72,61.72,,,,,,,,
Friedman,5,East_Bay,5,CONTRA_COSTA_4-5,54,0,61.28,64.28,62.28,61.28,,,,,,,,
Friedman,5,East_Bay,5,CONTRA_COSTA_6-7,55,0,46.5,51.5,47.5,43.5,,,,,,,,
Friedman,5,East_Bay,5,POTRERO_HILL,56,0,72.83,75.83,73.83,71.83,,,,,,,,
Heckman,6,Old_Timers,6,BIG_CREEK,61,0,30,30,30,30,,,,,,,,
Heckman,6,Old_Timers,6,MOHAVE_1,62,0,38,40,41,38.5,,,,,,,,
Heckman,6,Old_Timers,6,MOHAVE_2,63,0,38,40,41,38.5,,,,,,,,
Heckman,6,Old_Timers,6,HIGHGROVE,64,0,49.61,49.61,49.61,49.61,,,,,,,,
Heckman,6,Old_Timers,6,SAN_BERNARDINO,65,0,53.94,53.94,53.94,53.94,,,,,,,,
Krugman,7,Low_Fossil,7,HUMBOLDT,71,0,47.44,47.44,47.44,47.44,,,,,,,,
Krugman,7,Low_Fossil,7,HELMS,72,0,0.5,0.5,0.5,0.5,,,,,,,,
Krugman,7,Low_Fossil,7,HUNTERS_POINT_1-2,73,0,49.17,49.17,49.17,49.17,,,,,,,,
Krugman,7,Low_Fossil,7,HUNTERS_POINT_4,74,0,75.89,75.89,75.89,75.89,,,,,,,,
Krugman,7,Low_Fossil,7,DIABLO_CANYON_1,75,0,11.5,11.5,11.5,11.5,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,  ,,,,,,,,
